sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,dimensione_passepartout,formato,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,orientamento,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
,,,,"Dipinti e Grafiche","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accessori,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Progetta il tuo prodotto/Cornici","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Progetta il tuo prodotto/Specchiere/Specchiere moderne","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965841,,Default,simple,,"Default Category",base,,,,"2018-04-17 14:40:35",,,,,"Cornice in legno con lavorazione in pasta di legno.Doratura in foglia oro a missione. Patina antica. Cornice in stile seicentesco, adatta per quadri antichi o classici, ma anche per quadri moderni quando si vuole enfatizzare l’importanza del dipinto incorniciato.",,,,,0,/c/o/cornice_5_1.jpg,,,,,,,,,"Use config","Use config","CORNICE BAROCCA ORO",,,"Product Info Column",,,80.0000,0,"Cornice in legno con lavorazione in pasta di legno.Doratura in foglia oro a missione. Patina antica. Cornice in stile seicentesco, adatta per quadri antichi o classici, ma anche per quadri moderni quando si vuole enfatizzare l’importanza del dipinto incorniciato.",/c/o/cornice_5_1.jpg,,,,,1,0,/c/o/cornice_5_1.jpg,,"2018-04-17 14:41:16",cornice-barocca-oro,cornice-barocca-oro-26.html,4,1.0000,99.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/c/o/cornice_barocca_oro_5_1.jpg,,1,0,,,,,,,,,,,,,,,,
,,,,"Progetta il tuo prodotto","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/c/o/cornice_baro_5_1.jpg,,2,0,,,,,,,,,,,,,,,,
,,,,"Progetta il tuo prodotto/Specchiere","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/c/o/cornice_barocca_5_1.jpg,,3,0,,,,,,,,,,,,,,,,
,,,,Specchiere,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/c/o/cornice_5_1.jpg,,4,0,,,,,,,,,,,,,,,,
,,,,Passepartout,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Binari per appendere quadri","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dipinti e Grafiche","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accessori,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Progetta il tuo prodotto/Cornici","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Progetta il tuo prodotto/Specchiere/Specchiere moderne","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864946,,Default,configurable,Specchiere,"Default Category",base,,,,"2018-04-17 14:44:52",,,,,"Cornice in legno con lavorazione in pasta di legno.Doratura in foglia oro a missione. Patina antica. Cornice in stile seicentesco, adatta per quadri antichi o classici, ma anche per quadri moderni quando si vuole enfatizzare l’importanza del dipinto incorniciato.",,,,,1,/c/o/cornice_6.jpg,,,,,,,,,"Use config","Use config","CORNICE BAROCCA OAO",,,"Product Info Column",,,85.0000,1,"Cornice in legno con lavorazione in pasta di legno.Doratura in foglia oro a missione. Patina antica. Cornice in stile seicentesco, adatta per quadri antichi o classici, ma anche per quadri moderni quando si vuole enfatizzare l’importanza del dipinto incorniciato.",/c/o/cornice_6.jpg,,,,,1,0,/c/o/cornice_6.jpg,,"2018-04-17 14:52:00",cornice-barocca-oso,cornice-barocca-oso-17.html,4,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/c/o/cornice_barocca_oro_6.jpg,,1,0,,,,,,,,,,,,,"864946-carne-value 1-Verticale-value 1",color,carne,
,,,,Passepartout,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/c/o/cornice_baro_6.jpg,,2,0,,,,,,,,,,,,,"864946-cobalto-value 1-Orizzontale-value 1",color,cobalto,
,,,,"Binari per appendere quadri","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/c/o/cornice_barocca_6.jpg,,3,0,,,,,,,,,,,,,"864946-nero-value 1-Orizzontale-value 2",color,nero,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/c/o/cornice_6.jpg,,4,0,,,,,,,,,,,,,"864946-carne-value 1-Verticale-value 1",orientamento,Verticale,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"864946-cobalto-value 1-Orizzontale-value 1",orientamento,Orizzontale,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"864946-nero-value 1-Orizzontale-value 2",orientamento,Orizzontale,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"864946-carne-value 1-Verticale-value 1",dimensione_passepartout,"value 1",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"864946-cobalto-value 1-Orizzontale-value 1",dimensione_passepartout,"value 1",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"864946-nero-value 1-Orizzontale-value 2",dimensione_passepartout,"value 2",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"864946-carne-value 1-Verticale-value 1",formato,"value 1",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"864946-cobalto-value 1-Orizzontale-value 1",formato,"value 1",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"864946-nero-value 1-Orizzontale-value 2",formato,"value 1",
"864946-carne-value 1-Verticale-value 1",,Default,simple,,,base,carne,,,"2018-04-17 14:45:42",,,,,"Cornice in legno con lavorazione in pasta di legno.Doratura in foglia oro a missione. Patina antica. Cornice in stile seicentesco, adatta per quadri antichi o classici, ma anche per quadri moderni quando si vuole enfatizzare l’importanza del dipinto incorniciato.","value 1","value 1",,,0,,,,,,,,,,"Use config","Use config","CORNICE BAROCCA OAO-carne-value 1-Verticale-value 1",,,"Product Info Column",Verticale,,85.0000,0,"Cornice in legno con lavorazione in pasta di legno.Doratura in foglia oro a missione. Patina antica. Cornice in stile seicentesco, adatta per quadri antichi o classici, ma anche per quadri moderni quando si vuole enfatizzare l’importanza del dipinto incorniciato.",,,,,,1,0,,,"2018-04-17 14:45:42",cornice-barocca-oao-carne-value-1-verticale-value-1,cornice-barocca-oao-carne-value-1-verticale-value-1.html,1,1.0000,96.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"864946-cobalto-value 1-Orizzontale-value 1",,Default,simple,,,base,cobalto,,,"2018-04-17 14:46:02",,,,,"Cornice in legno con lavorazione in pasta di legno.Doratura in foglia oro a missione. Patina antica. Cornice in stile seicentesco, adatta per quadri antichi o classici, ma anche per quadri moderni quando si vuole enfatizzare l’importanza del dipinto incorniciato.","value 1","value 1",,,0,,,,,,,,,,"Use config","Use config","CORNICE BAROCCA OAO-cobalto-value 1-Orizzontale-value 1",,,"Product Info Column",Orizzontale,,85.0000,0,"Cornice in legno con lavorazione in pasta di legno.Doratura in foglia oro a missione. Patina antica. Cornice in stile seicentesco, adatta per quadri antichi o classici, ma anche per quadri moderni quando si vuole enfatizzare l’importanza del dipinto incorniciato.",,,,,,1,0,,,"2018-04-17 14:46:02",cornice-barocca-oao-cobalto-value-1-orizzontale-value-1,cornice-barocca-oao-cobalto-value-1-orizzontale-value-1.html,1,1.0000,97.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"864946-nero-value 1-Orizzontale-value 2",,Default,simple,,,base,nero,,,"2018-04-17 14:46:16",,,,,"Cornice in legno con lavorazione in pasta di legno.Doratura in foglia oro a missione. Patina antica. Cornice in stile seicentesco, adatta per quadri antichi o classici, ma anche per quadri moderni quando si vuole enfatizzare l’importanza del dipinto incorniciato.","value 2","value 1",,,0,,,,,,,,,,"Use config","Use config","CORNICE BAROCCA OAO-nero-value 1-Orizzontale-value 2",,,"Product Info Column",Orizzontale,,85.0000,0,"Cornice in legno con lavorazione in pasta di legno.Doratura in foglia oro a missione. Patina antica. Cornice in stile seicentesco, adatta per quadri antichi o classici, ma anche per quadri moderni quando si vuole enfatizzare l’importanza del dipinto incorniciato.",,,,,,1,0,,,"2018-04-17 14:46:16",cornice-barocca-oao-nero-value-1-orizzontale-value-2,cornice-barocca-oao-nero-value-1-orizzontale-value-2.html,1,1.0000,99.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16584,,Default,configurable,Cornici,"Default Category",base,,,,"2018-04-17 15:07:21",,,,,"Cornice in legno con lavorazione in pasta di legno.Doratura in foglia oro a missione. Patina antica. Cornice in stile seicentesco, adatta per quadri antichi o classici, ma anche per quadri moderni quando si vuole enfatizzare l’importanza del dipinto incorniciato.",,,,,1,/c/o/cornice_barocca_oro_7.jpg,,,,,,,,,"Use config","Use config",Product,,,"Product Info Column",,,90.0000,1,"Cornice in legno con lavorazione in pasta di legno.Doratura in foglia oro a missione. Patina antica. Cornice in stile seicentesco, adatta per quadri antichi o classici, ma anche per quadri moderni quando si vuole enfatizzare l’importanza del dipinto incorniciato.",/c/o/cornice_barocca_oro_7.jpg,,,,,1,0,/c/o/cornice_barocca_oro_7.jpg,,"2018-04-17 15:08:26",product,product.html,4,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/c/o/cornice_barocca_oro_7.jpg,,1,0,,,,,,,,,,,,,"16584-carne-value 1-Verticale-value 1",color,carne,
,,,,Specchiere,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/c/o/cornice_baro_7.jpg,,2,0,,,,,,,,,,,,,"16584-cobalto-value 2-Verticale-value 2",color,cobalto,
,,,,"Specchiere/Specchiere classiche","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16584-carne-value 1-Verticale-value 1",orientamento,Verticale,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16584-cobalto-value 2-Verticale-value 2",orientamento,Verticale,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16584-carne-value 1-Verticale-value 1",dimensione_passepartout,"value 1",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16584-cobalto-value 2-Verticale-value 2",dimensione_passepartout,"value 2",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16584-carne-value 1-Verticale-value 1",formato,"value 1",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16584-cobalto-value 2-Verticale-value 2",formato,"value 2",
"16584-carne-value 1-Verticale-value 1",,Default,simple,"Specchiere/Specchiere classiche","Default Category",base,carne,,,"2018-04-17 15:07:59",,,,,"Cornice in legno con lavorazione in pasta di legno.Doratura in foglia oro a missione. Patina antica. Cornice in stile seicentesco, adatta per quadri antichi o classici, ma anche per quadri moderni quando si vuole enfatizzare l’importanza del dipinto incorniciato.","value 1","value 1",,,0,,,,,,,,,,"Use config","Use config","Product-carne-value 1-Verticale-value 1",,,"Product Info Column",Verticale,,90.0000,0,"Cornice in legno con lavorazione in pasta di legno.Doratura in foglia oro a missione. Patina antica. Cornice in stile seicentesco, adatta per quadri antichi o classici, ma anche per quadri moderni quando si vuole enfatizzare l’importanza del dipinto incorniciato.",,,,,,1,0,,,"2018-04-17 15:07:59",product-carne-value-1-verticale-value-1,product-carne-value-1-verticale-value-1.html,4,1.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16584-cobalto-value 2-Verticale-value 2",,Default,simple,"Specchiere/Specchiere classiche","Default Category",base,cobalto,,,"2018-04-17 15:08:14",,,,,"Cornice in legno con lavorazione in pasta di legno.Doratura in foglia oro a missione. Patina antica. Cornice in stile seicentesco, adatta per quadri antichi o classici, ma anche per quadri moderni quando si vuole enfatizzare l’importanza del dipinto incorniciato.","value 2","value 2",,,0,no_selection,,,,,,,,,"Use config","Use config","Product-cobalto-value 2-Verticale-value 2",,,"Product Info Column",Verticale,,100.0000,0,"Cornice in legno con lavorazione in pasta di legno.Doratura in foglia oro a missione. Patina antica. Cornice in stile seicentesco, adatta per quadri antichi o classici, ma anche per quadri moderni quando si vuole enfatizzare l’importanza del dipinto incorniciato.",no_selection,,,,,1,0,no_selection,,"2018-04-17 15:13:17",product-cobalto-value-2-verticale-value-2,product-cobalto-value-2-verticale-value-2.html,4,1.0000,11.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Progetta il tuo prodotto/Specchiere/Specchiere moderne/Cornici nascondi cassaforte","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231111,,Default,simple,Cornici,"Default Category",base,carne,,,"2018-04-24 12:11:02",,,,,"Cornice in legno con lavorazione in pasta di legno.Doratura in foglia oro a missione. Patina antica. Cornice in stile seicentesco, adatta per quadri antichi o classici, ma anche pe quadri moderni quando si vuole enfatizzare l’importanza del dipinto incorniciato.","value 1","value 1",,,1,/c/o/cornice_barocca_oro_8.jpg,,,,,,,,,"Use config","Use config","Product co",,,"Product Info Column",Orizzontale,,90.0000,1,"Cornice in legno con lavorazione in pasta di legno.Doratura in foglia oro a missione. Patina antica. Cornice in stile seicentesco, adatta per quadri antichi o classici, ma anche pe quadri moderni quando si vuole enfatizzare l’importanza del dipinto incorniciato.",/c/o/cornice_barocca_oro_8.jpg,,,,,1,0,/c/o/cornice_barocca_oro_8.jpg,,"2018-04-24 12:11:02",product-co,product-co.html,4,1.0000,99.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/c/o/cornice_barocca_oro_8.jpg,,1,0,,drop_down,Formato,1,,,,0,"value 1",0.0000,,0,,,,
,,,,Specchiere,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/c/o/cornice_barocca_7.jpg,,2,0,,,,,,,,,"value 2",0.0000,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/c/o/cornice_7.jpg,,3,0,ita,,,,,,,,"value 1",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ita,,,,,,,,"value 2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,,,,,,,,"value 1",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,,,,,,,,"value 2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drop_down,Orientamento,1,,,,0,v1,0.0000,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v2,0.0000,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ita,,,,,,,,v1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ita,,,,,,,,v2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,,,,,,,,v1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,,,,,,,,v2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drop_down,"Dimensione passepartout",1,,,,0,v1,0.0000,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v2,0.0000,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ita,,,,,,,,v1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ita,,,,,,,,v2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,,,,,,,,v1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,,,,,,,,v2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkbox,"Aggiungi Vetro",1,,,,0,"Aggiungi Vetro (+20%)",0.0000,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ita,,,,,,,,"Aggiungi Vetro (+20%)",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,,,,,,,,"Aggiungi Vetro (+20%)",,,,,,,
